epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,249.355,1.44039,1.83424,1.52214,0.60553,0.50666,0.54485,0.2589,1.67972,1.54745,1.62243,0.000555015,0.000555015,0.000555015
2,493.425,1.42623,1.42492,1.48593,0.76573,0.67942,0.73716,0.36063,1.61695,1.1828,1.58758,0.000890767,0.000890767,0.000890767
3,735.75,1.38264,1.28786,1.45698,0.72572,0.66875,0.70417,0.34657,1.55932,1.16998,1.53399,0.00100647,0.00100647,0.00100647
4,978.7,1.31837,1.16528,1.41074,0.76872,0.78605,0.82245,0.41197,1.53595,0.94043,1.48451,0.000676802,0.000676802,0.000676802
5,1221.62,1.22588,1.02527,1.35041,0.8291,0.81442,0.86681,0.47942,1.34421,0.82345,1.39239,0.000346736,0.000346736,0.000346736
